,id,cold_sensitivity,user_style,item_type,item_subtype,item_style,item_color,item_warmth,is_waterproof,is_windproof,weather_coldness,is_rain,is_snow,is_windy,liked
0,0,high,outdoor,bottom,jeans,casual,navy,2,0,0,3,0,0,0,0
1,1,low,street,top,turtleneck,casual,blue,2,0,0,4,0,0,1,0
2,2,low,sport,outerwear,windbreaker,sport,red,2,1,1,2,0,0,0,1
3,3,low,sport,outerwear,coat,casual,navy,4,0,0,1,0,0,1,0
4,4,low,official,outerwear,bomber,casual,grey,3,0,1,3,0,0,0,1
5,5,low,casual,bottom,sweatpants,street,navy,2,0,0,3,0,0,1,1
6,6,medium,party,top,cardigan,official,black,2,0,0,4,0,0,0,0
7,7,low,casual,outerwear,windbreaker,outdoor,khaki,1,1,1,3,0,1,0,0
8,8,low,outdoor,outerwear,windbreaker,street,blue,2,1,1,2,0,0,1,1
9,9,high,sport,bottom,joggers,casual,khaki,2,0,0,2,1,0,1,1
10,10,medium,official,top,bodysuit,party,black,1,0,0,1,0,0,0,1
11,11,low,party,outerwear,jacket,street,white,2,0,0,4,0,1,0,0
12,12,high,outdoor,top,blazer,party,green,2,0,0,4,0,0,1,0
13,13,high,outdoor,top,blazer,party,khaki,1,0,0,4,0,0,1,0
14,14,medium,street,bottom,joggers,casual,red,2,0,0,3,0,0,0,1
15,15,high,street,bottom,shorts,casual,black,1,0,0,4,0,0,0,0
16,16,medium,official,outerwear,biker_jacket,party,pink,2,0,0,4,0,0,0,0
17,17,high,official,top,tank_top,casual,beige,1,0,0,2,1,0,0,0
18,18,medium,official,bottom,jeans,street,black,2,0,0,1,0,0,1,1
19,19,low,outdoor,bottom,jeans,casual,navy,2,0,0,4,1,0,1,0
20,20,low,sport,bottom,sweatpants,outdoor,beige,2,0,0,4,0,0,1,0
21,21,low,street,bottom,shorts,sport,purple,1,0,0,3,1,0,1,0
22,22,medium,casual,top,bodysuit,party,multicolor,1,0,0,1,1,0,0,0
23,23,low,sport,top,hoodie,casual,khaki,3,0,0,3,1,0,0,0
24,24,high,street,bottom,skirt,casual,navy,1,0,0,2,0,0,0,1
25,25,low,outdoor,outerwear,puffer,outdoor,pink,4,1,1,2,1,0,0,0
26,26,low,official,outerwear,coat,casual,blue,4,1,0,1,1,0,1,0
27,27,medium,party,top,cardigan,casual,blue,2,0,0,2,0,0,0,1
28,28,low,official,bottom,jeans,casual,white,2,0,0,1,0,0,0,1
29,29,medium,outdoor,bottom,jeans,casual,black,2,0,0,3,0,0,1,1
30,30,high,outdoor,top,dress,official,white,2,0,0,1,0,0,0,0
31,31,low,sport,outerwear,puffer,street,khaki,4,1,0,4,0,0,1,1
32,32,medium,outdoor,top,tshirt,party,blue,1,0,0,3,0,1,0,0
33,33,low,street,bottom,trousers,official,grey,2,0,0,3,0,0,0,1
34,34,low,outdoor,bottom,jeans,casual,brown,2,0,0,3,1,0,0,0
35,35,high,casual,bottom,jeans,street,pink,2,0,0,2,0,0,0,1
36,36,low,official,bottom,shorts,outdoor,grey,1,0,0,3,0,0,0,0
37,37,medium,sport,top,bodysuit,casual,white,1,0,0,4,0,0,1,0
38,38,high,street,bottom,jeans,party,khaki,2,0,0,3,0,0,1,1
39,39,medium,street,bottom,skirt,official,beige,1,0,0,1,0,0,0,0
40,40,high,party,top,jumpsuit,casual,pink,1,0,0,4,1,0,0,0
41,41,high,sport,bottom,sweatpants,outdoor,blue,3,0,0,1,0,0,1,0
42,42,high,sport,top,jumpsuit,street,red,1,0,0,3,0,0,0,0
43,43,high,party,bottom,shorts,casual,blue,1,0,0,4,0,1,0,0
44,44,high,street,outerwear,coat,casual,grey,3,0,0,2,0,0,0,1
45,45,low,official,top,bodysuit,party,khaki,1,0,0,3,0,0,0,0
46,46,low,casual,top,tshirt,casual,blue,1,0,0,1,1,0,1,1
47,47,low,outdoor,bottom,jeans,street,grey,2,0,0,3,0,0,1,1
48,48,medium,official,bottom,trousers,party,blue,1,0,0,1,1,0,1,0
49,49,medium,street,top,tshirt,sport,navy,1,0,0,4,0,0,1,0
50,50,high,street,top,shirt,official,brown,1,0,0,4,0,0,1,0
51,51,medium,outdoor,outerwear,fur_coat,official,brown,4,0,1,2,0,0,1,0
52,52,high,street,top,blazer,party,beige,2,0,0,3,0,0,1,1
53,53,low,party,top,cardigan,official,black,1,0,0,3,0,0,0,0
54,54,low,casual,bottom,skirt,party,yellow,1,0,0,4,0,1,1,0
55,55,medium,official,outerwear,sheepskin_coat,street,yellow,3,0,1,4,0,0,0,0
56,56,low,street,top,longsleeve,street,khaki,2,0,0,2,0,0,0,1
57,57,low,street,bottom,trousers,party,brown,2,0,0,3,1,0,0,1
58,58,high,street,top,shirt,casual,blue,1,0,0,3,0,0,1,0
59,59,high,party,bottom,sweatpants,street,multicolor,3,0,0,2,0,0,0,1
60,60,medium,casual,outerwear,fur_coat,official,white,4,0,1,3,1,0,0,1
61,61,low,outdoor,bottom,shorts,casual,navy,1,0,0,4,0,0,0,0
62,62,medium,party,bottom,shorts,sport,pink,1,0,0,3,0,0,1,0
63,63,high,outdoor,bottom,shorts,outdoor,white,1,0,0,2,0,0,0,1
64,64,high,outdoor,top,longsleeve,casual,beige,2,0,0,3,0,0,0,0
65,65,high,street,top,dress,casual,green,1,0,0,2,0,0,0,1
66,66,low,sport,outerwear,bomber,casual,white,2,1,1,3,0,0,0,1
67,67,high,party,outerwear,trench,casual,white,2,1,1,2,0,0,0,1
68,68,low,outdoor,bottom,skirt,official,navy,1,0,0,3,0,1,0,0
69,69,medium,street,top,dress,casual,white,1,0,0,1,1,0,0,1
70,70,low,casual,top,dress,official,navy,2,0,0,2,0,0,1,1
71,71,low,casual,top,turtleneck,official,white,2,0,0,2,0,0,0,1
72,72,low,casual,bottom,skirt,party,khaki,2,0,0,4,0,0,0,0
73,73,medium,street,outerwear,jeans_jacket,casual,brown,2,0,0,4,0,1,0,0
74,74,high,casual,bottom,shorts,sport,pink,1,0,0,2,1,0,1,0
75,75,low,street,top,turtleneck,casual,beige,2,0,0,1,1,0,1,0
76,76,low,sport,bottom,trousers,casual,navy,1,0,0,2,0,0,0,1
77,77,medium,official,bottom,skirt,official,black,2,0,0,1,0,0,0,1
78,78,medium,sport,bottom,jeans,street,red,2,0,0,2,1,0,1,1
79,79,low,official,outerwear,sheepskin_coat,street,black,4,0,1,1,0,0,0,0
80,80,low,street,outerwear,coat,official,navy,3,0,1,4,0,0,1,1
81,81,high,outdoor,top,shirt,official,blue,1,0,0,3,0,0,1,0
82,82,medium,outdoor,outerwear,trench,official,blue,1,1,0,3,0,1,1,0
83,83,high,street,bottom,jeans,casual,khaki,2,0,0,4,0,0,1,0
84,84,low,sport,top,tshirt,casual,purple,1,0,0,3,0,0,1,0
85,85,high,street,outerwear,fur_coat,official,black,4,0,1,3,0,0,0,1
86,86,medium,outdoor,bottom,trousers,party,multicolor,1,0,0,4,0,0,1,0
87,87,medium,casual,bottom,jeans,street,red,2,0,0,1,0,0,0,1
88,88,high,casual,top,hoodie,street,blue,2,0,0,2,1,0,1,1
89,89,high,casual,top,cardigan,official,green,1,0,0,4,0,1,0,0
90,90,high,sport,bottom,shorts,street,beige,1,0,0,1,0,0,0,1
91,91,medium,sport,outerwear,coat,casual,yellow,3,0,1,4,0,0,0,1
92,92,high,casual,top,jumpsuit,street,khaki,2,0,0,3,0,1,0,0
93,93,low,street,bottom,jeans,street,purple,2,0,0,4,0,0,0,0
94,94,low,party,top,shirt,official,navy,1,0,0,4,1,0,1,0
95,95,high,official,bottom,sweatpants,sport,beige,3,0,0,2,0,0,0,1
96,96,high,street,bottom,skirt,casual,blue,2,0,0,3,1,0,1,0
97,97,high,sport,top,shirt,official,grey,1,0,0,4,0,0,1,0
98,98,high,official,top,shirt,party,green,1,0,0,2,0,0,0,0
99,99,high,party,top,turtleneck,official,yellow,2,0,0,4,0,0,0,0
100,100,high,sport,bottom,joggers,sport,white,2,0,0,3,1,0,1,0
101,101,low,casual,bottom,joggers,street,multicolor,2,0,0,2,0,0,1,1
102,102,low,casual,bottom,jeans,casual,blue,2,0,0,3,0,0,1,1
103,103,high,official,bottom,shorts,casual,navy,1,0,0,3,0,1,1,0
104,104,low,sport,bottom,jeans,party,white,2,0,0,2,0,0,0,0
105,105,medium,official,bottom,sweatpants,sport,black,3,0,0,2,0,0,1,1
106,106,medium,sport,top,turtleneck,official,pink,2,0,0,3,0,1,1,0
107,107,medium,party,bottom,trousers,casual,khaki,1,0,0,2,0,0,0,1
108,108,medium,casual,top,bodysuit,party,green,1,0,0,1,0,0,0,1
109,109,low,casual,outerwear,puffer,street,beige,3,1,1,1,0,0,0,0
110,110,medium,official,outerwear,jacket,street,orange,2,1,1,2,0,0,0,0
111,111,medium,casual,bottom,jeans,casual,green,2,0,0,2,0,0,1,1
112,112,medium,casual,bottom,trousers,official,blue,2,0,0,2,0,0,1,1
113,113,medium,street,outerwear,trench,casual,red,2,0,0,4,0,0,0,0
114,114,high,outdoor,bottom,shorts,sport,grey,1,0,0,4,1,0,1,0
115,115,high,sport,top,hoodie,casual,grey,3,0,0,3,0,0,0,1
116,116,medium,party,bottom,joggers,street,brown,2,0,0,1,1,0,0,0
117,117,medium,party,top,blazer,official,khaki,2,0,0,3,1,0,0,0
118,118,low,casual,bottom,jeans,casual,orange,2,0,0,1,0,0,0,1
119,119,medium,street,top,jumpsuit,party,pink,2,0,0,1,0,0,0,1
120,120,medium,casual,top,jumpsuit,street,beige,2,0,0,2,1,0,0,1
121,121,low,sport,outerwear,puffer,outdoor,beige,3,0,1,3,0,0,0,0
122,122,high,outdoor,top,bodysuit,casual,green,1,0,0,3,0,0,0,0
123,123,high,casual,top,jumpsuit,party,beige,2,0,0,4,0,0,1,0
124,124,high,sport,bottom,jeans,casual,black,2,0,0,2,1,0,0,1
125,125,high,sport,outerwear,sheepskin_coat,street,blue,3,0,1,3,1,0,0,1
126,126,medium,street,top,cardigan,official,navy,2,0,0,2,1,0,0,0
127,127,medium,official,top,tank_top,street,multicolor,1,0,0,3,0,0,0,0
128,128,medium,sport,top,bodysuit,casual,black,1,0,0,3,1,0,0,0
129,129,low,street,top,bodysuit,casual,blue,1,0,0,2,1,0,0,1
130,130,high,sport,top,shirt,party,green,1,0,0,4,0,0,0,0
131,131,high,party,outerwear,biker_jacket,street,blue,2,0,0,1,0,0,1,0
132,132,low,sport,bottom,skirt,official,white,1,0,0,4,1,0,1,0
133,133,low,outdoor,bottom,shorts,sport,multicolor,1,0,0,4,1,0,0,0
134,134,medium,outdoor,bottom,joggers,casual,green,2,0,0,2,0,0,0,1
135,135,low,street,bottom,jeans,street,purple,2,0,0,2,0,0,0,1
136,136,medium,party,bottom,sweatpants,outdoor,brown,3,0,0,1,0,0,0,0
137,137,low,sport,top,tshirt,street,red,1,0,0,3,1,0,1,0
138,138,low,outdoor,top,zip_hoodie,casual,beige,3,0,0,4,0,1,0,0
139,139,medium,sport,bottom,shorts,casual,white,1,0,0,2,1,0,0,0
140,140,medium,sport,top,bodysuit,casual,navy,1,0,0,2,1,0,0,0
141,141,high,official,outerwear,jeans_jacket,street,purple,2,0,0,3,0,0,0,0
142,142,medium,sport,top,tshirt,street,yellow,1,0,0,3,0,0,1,0
143,143,medium,casual,bottom,shorts,street,pink,1,0,0,1,1,0,1,0
144,144,low,party,outerwear,biker_jacket,casual,green,2,1,1,4,0,0,1,0
145,145,low,party,bottom,joggers,sport,black,2,0,0,3,1,0,1,0
146,146,high,sport,outerwear,fur_coat,official,navy,3,0,1,3,0,0,0,0
147,147,medium,official,bottom,skirt,official,grey,1,0,0,4,0,1,1,0
148,148,medium,party,top,cardigan,casual,white,1,0,0,4,0,0,0,0
149,149,medium,casual,outerwear,sheepskin_coat,casual,purple,3,0,1,2,1,0,0,1
150,150,high,casual,bottom,sweatpants,street,orange,3,0,0,3,0,1,1,1
151,151,low,outdoor,top,jumpsuit,party,green,1,0,0,3,1,0,0,0
152,152,high,official,outerwear,puffer,outdoor,navy,4,0,0,3,0,0,1,1
153,153,low,street,top,jumpsuit,party,brown,2,0,0,3,0,0,1,1
154,154,medium,sport,top,tank_top,casual,grey,1,0,0,2,0,0,1,1
155,155,low,party,outerwear,trench,official,navy,1,1,0,4,1,0,1,0
156,156,medium,street,bottom,shorts,casual,white,1,0,0,2,0,0,1,1
157,157,medium,party,outerwear,jacket,outdoor,beige,3,0,1,4,0,1,1,0
158,158,medium,street,outerwear,trench,casual,blue,1,0,0,4,0,0,1,0
159,159,high,official,bottom,skirt,party,pink,2,0,0,2,1,0,0,0
160,160,low,street,bottom,trousers,party,grey,2,0,0,3,0,0,1,1
161,161,medium,official,bottom,sweatpants,outdoor,khaki,2,0,0,4,1,0,1,0
162,162,low,party,bottom,sweatpants,street,navy,3,0,0,3,0,0,0,1
163,163,high,outdoor,bottom,sweatpants,outdoor,white,3,0,0,4,0,0,0,1
164,164,medium,official,top,shirt,casual,brown,1,0,0,1,0,0,0,1
165,165,high,casual,outerwear,puffer,outdoor,orange,3,1,1,3,0,0,0,1
166,166,low,street,top,tshirt,sport,white,1,0,0,2,1,0,0,1
167,167,medium,party,top,blazer,official,beige,2,0,0,2,0,0,1,1
168,168,low,casual,top,blazer,official,navy,2,0,0,1,0,0,0,1
169,169,medium,official,top,tank_top,casual,navy,1,0,0,2,1,0,0,1
170,170,medium,party,top,blazer,party,blue,2,0,0,1,0,0,0,1
171,171,medium,party,top,shirt,party,white,1,0,0,1,0,0,0,1
172,172,high,street,outerwear,sheepskin_coat,casual,navy,4,0,1,3,0,1,1,1
173,173,medium,outdoor,top,blazer,party,grey,1,0,0,3,1,0,0,0
174,174,medium,sport,bottom,shorts,sport,navy,1,0,0,2,0,0,1,1
175,175,high,street,bottom,sweatpants,street,grey,2,0,0,3,0,1,0,1
176,176,low,street,top,zip_hoodie,outdoor,grey,3,0,0,3,0,1,1,0
177,177,low,party,bottom,sweatpants,outdoor,blue,3,0,0,1,1,0,1,0
178,178,low,outdoor,bottom,skirt,casual,khaki,1,0,0,2,1,0,1,0
